Student_ID,Class,Section,Month,Attendance_Percentage
1001,1,A,April,97
1001,1,A,May,92
1001,1,A,August,96
1001,1,A,September,95
1001,1,A,October,97
1001,1,A,November,99
1001,1,A,December,93
1001,1,A,January,97
1001,1,A,February,92
1001,1,A,March,91
1002,1,B,April,98
1002,1,B,May,97
1002,1,B,August,97
1002,1,B,September,100
1002,1,B,October,93
1002,1,B,November,95
1002,1,B,December,99
1002,1,B,January,95
1002,1,B,February,100
1002,1,B,March,90
1003,1,B,April,83
1003,1,B,May,82
1003,1,B,August,87
1003,1,B,September,84
1003,1,B,October,88
1003,1,B,November,87
1003,1,B,December,87
1003,1,B,January,76
1003,1,B,February,78
1003,1,B,March,90
1004,1,B,April,84
1004,1,B,May,75
1004,1,B,August,87
1004,1,B,September,87
1004,1,B,October,88
1004,1,B,November,80
1004,1,B,December,79
1004,1,B,January,82
1004,1,B,February,83
1004,1,B,March,88
1005,1,B,April,79
1005,1,B,May,89
1005,1,B,August,78
1005,1,B,September,85
1005,1,B,October,78
1005,1,B,November,83
1005,1,B,December,81
1005,1,B,January,75
1005,1,B,February,77
1005,1,B,March,90
1006,1,A,April,89
1006,1,A,May,88
1006,1,A,August,75
1006,1,A,September,75
1006,1,A,October,81
1006,1,A,November,77
1006,1,A,December,88
1006,1,A,January,78
1006,1,A,February,90
1006,1,A,March,88
1007,1,A,April,63
1007,1,A,May,61
1007,1,A,August,73
1007,1,A,September,68
1007,1,A,October,71
1007,1,A,November,69
1007,1,A,December,68
1007,1,A,January,62
1007,1,A,February,73
1007,1,A,March,65
1008,1,B,April,81
1008,1,B,May,77
1008,1,B,August,79
1008,1,B,September,76
1008,1,B,October,83
1008,1,B,November,79
1008,1,B,December,78
1008,1,B,January,84
1008,1,B,February,76
1008,1,B,March,75
1009,1,A,April,78
1009,1,A,May,89
1009,1,A,August,84
1009,1,A,September,81
1009,1,A,October,81
1009,1,A,November,88
1009,1,A,December,77
1009,1,A,January,79
1009,1,A,February,78
1009,1,A,March,82
1010,1,A,April,64
1010,1,A,May,74
1010,1,A,August,69
1010,1,A,September,61
1010,1,A,October,75
1010,1,A,November,66
1010,1,A,December,60
1010,1,A,January,69
1010,1,A,February,73
1010,1,A,March,67
1011,1,A,April,90
1011,1,A,May,84
1011,1,A,August,89
1011,1,A,September,86
1011,1,A,October,81
1011,1,A,November,83
1011,1,A,December,81
1011,1,A,January,85
1011,1,A,February,90
1011,1,A,March,88
1012,1,A,April,75
1012,1,A,May,86
1012,1,A,August,83
1012,1,A,September,76
1012,1,A,October,77
1012,1,A,November,86
1012,1,A,December,75
1012,1,A,January,81
1012,1,A,February,86
1012,1,A,March,82
1013,1,A,April,68
1013,1,A,May,66
1013,1,A,August,66
1013,1,A,September,68
1013,1,A,October,63
1013,1,A,November,69
1013,1,A,December,70
1013,1,A,January,73
1013,1,A,February,66
1013,1,A,March,75
1014,1,A,April,76
1014,1,A,May,89
1014,1,A,August,84
1014,1,A,September,86
1014,1,A,October,77
1014,1,A,November,86
1014,1,A,December,87
1014,1,A,January,85
1014,1,A,February,89
1014,1,A,March,82
1015,1,B,April,62
1015,1,B,May,74
1015,1,B,August,71
1015,1,B,September,63
1015,1,B,October,69
1015,1,B,November,74
1015,1,B,December,73
1015,1,B,January,64
1015,1,B,February,63
1015,1,B,March,65
1016,1,A,April,80
1016,1,A,May,87
1016,1,A,August,87
1016,1,A,September,85
1016,1,A,October,77
1016,1,A,November,88
1016,1,A,December,78
1016,1,A,January,88
1016,1,A,February,88
1016,1,A,March,76
1017,1,A,April,62
1017,1,A,May,66
1017,1,A,August,61
1017,1,A,September,72
1017,1,A,October,67
1017,1,A,November,72
1017,1,A,December,60
