Student_ID,Class,Section,Month,Subject,Monthly_Test_50,Midterm_100,Final_100
1001,1,A,April,Urdu,47,84,81
1001,1,A,April,English,42,76,96
1001,1,A,April,Science,40,78,82
1001,1,A,April,Math,47,88,85
1001,1,A,April,Geography,37,80,100
1001,1,A,April,Social Studies,41,93,78
1001,1,A,April,Islamiat,43,100,82
1001,1,A,April,Computer,37,76,93
1001,1,A,May,Urdu,49,97,90
1001,1,A,May,English,48,94,79
1001,1,A,May,Science,42,99,77
1001,1,A,May,Math,40,80,90
1001,1,A,May,Geography,38,96,94
1001,1,A,May,Social Studies,42,99,95
1001,1,A,May,Islamiat,37,76,86
1001,1,A,May,Computer,47,79,97
1001,1,A,August,Urdu,45,100,78
1001,1,A,August,English,39,90,82
1001,1,A,August,Science,42,92,100
1001,1,A,August,Math,47,99,86
1001,1,A,August,Geography,49,89,98
1001,1,A,August,Social Studies,40,75,97
1001,1,A,August,Islamiat,43,86,98
1001,1,A,August,Computer,39,83,76
1001,1,A,September,Urdu,44,97,89
1001,1,A,September,English,45,84,92
1001,1,A,September,Science,48,90,81
1001,1,A,September,Math,46,80,92
1001,1,A,September,Geography,42,85,98
1001,1,A,September,Social Studies,44,83,94
1001,1,A,September,Islamiat,50,92,80
1001,1,A,September,Computer,38,91,79
1001,1,A,October,Urdu,44,84,83
1001,1,A,October,English,45,86,89
1001,1,A,October,Science,37,99,95
1001,1,A,October,Math,45,87,98
1001,1,A,October,Geography,39,75,94
1001,1,A,October,Social Studies,50,86,99
1001,1,A,October,Islamiat,46,82,85
1001,1,A,October,Computer,48,77,96
1001,1,A,November,Urdu,45,87,81
1001,1,A,November,English,45,96,90
1001,1,A,November,Science,49,92,79
1001,1,A,November,Math,46,84,85
1001,1,A,November,Geography,43,95,85
1001,1,A,November,Social Studies,38,78,91
1001,1,A,November,Islamiat,47,77,76
1001,1,A,November,Computer,50,79,80
1001,1,A,December,Urdu,50,76,81
1001,1,A,December,English,38,90,81
1001,1,A,December,Science,38,76,93
1001,1,A,December,Math,47,87,96
1001,1,A,December,Geography,44,91,94
1001,1,A,December,Social Studies,48,93,83
1001,1,A,December,Islamiat,37,86,82
1001,1,A,December,Computer,46,97,77
1001,1,A,January,Urdu,37,81,95
1001,1,A,January,English,44,77,89
1001,1,A,January,Science,49,95,76
1001,1,A,January,Math,42,92,98
1001,1,A,January,Geography,43,86,100
1001,1,A,January,Social Studies,48,76,94
1001,1,A,January,Islamiat,41,91,76
1001,1,A,January,Computer,48,77,84
1001,1,A,February,Urdu,38,81,91
1001,1,A,February,English,38,78,98
1001,1,A,February,Science,40,92,87
1001,1,A,February,Math,40,81,91
1001,1,A,February,Geography,47,82,93
1001,1,A,February,Social Studies,47,80,92
1001,1,A,February,Islamiat,48,92,88
1001,1,A,February,Computer,48,78,99
1001,1,A,March,Urdu,47,93,86
1001,1,A,March,English,47,89,97
1001,1,A,March,Science,47,88,78
1001,1,A,March,Math,39,100,80
1001,1,A,March,Geography,45,87,91
1001,1,A,March,Social Studies,42,96,80
1001,1,A,March,Islamiat,45,94,89
1001,1,A,March,Computer,42,85,92
1002,1,B,April,Urdu,42,86,88
1002,1,B,April,English,49,95,88
1002,1,B,April,Science,50,98,85
1002,1,B,April,Math,46,82,93
1002,1,B,April,Geography,45,81,87
1002,1,B,April,Social Studies,49,92,98
1002,1,B,April,Islamiat,41,86,89
1002,1,B,April,Computer,44,87,75
1002,1,B,May,Urdu,48,76,84
1002,1,B,May,English,46,75,91
1002,1,B,May,Science,39,84,75
1002,1,B,May,Math,41,82,81
1002,1,B,May,Geography,50,85,75
1002,1,B,May,Social Studies,49,97,83
1002,1,B,May,Islamiat,45,91,92
1002,1,B,May,Computer,46,93,79
1002,1,B,August,Urdu,38,76,89
1002,1,B,August,English,42,79,79
1002,1,B,August,Science,41,86,93
1002,1,B,August,Math,40,82,83
1002,1,B,August,Geography,49,84,77
1002,1,B,August,Social Studies,46,87,93
1002,1,B,August,Islamiat,40,98,77
1002,1,B,August,Computer,48,85,100
1002,1,B,September,Urdu,44,80,90
1002,1,B,September,English,50,97,97
1002,1,B,September,Science,46,78,94
1002,1,B,September,Math,47,84,76
1002,1,B,September,Geography,48,100,93
1002,1,B,September,Social Studies,43,77,99
1002,1,B,September,Islamiat,37,99,85
1002,1,B,September,Computer,42,88,88
1002,1,B,October,Urdu,50,78,99
1002,1,B,October,English,40,98,95
1002,1,B,October,Science,50,94,75
1002,1,B,October,Math,47,99,95
1002,1,B,October,Geography,43,76,84
1002,1,B,October,Social Studies,45,76,85
1002,1,B,October,Islamiat,45,93,79
1002,1,B,October,Computer,42,91,97
1002,1,B,November,Urdu,40,79,76
1002,1,B,November,English,47,98,87
1002,1,B,November,Science,44,99,94
1002,1,B,November,Math,46,91,77
1002,1,B,November,Geography,40,88,84
1002,1,B,November,Social Studies,49,87,79
1002,1,B,November,Islamiat,39,85,77
1002,1,B,November,Computer,44,93,98
1002,1,B,December,Urdu,37,92,87
1002,1,B,December,English,41,77,87
1002,1,B,December,Science,45,88,99
1002,1,B,December,Math,48,79,99
1002,1,B,December,Geography,39,90,92
1002,1,B,December,Social Studies,40,90,87
1002,1,B,December,Islamiat,47,93,81
1002,1,B,December,Computer,45,94,98
1002,1,B,January,Urdu,45,82,82
1002,1,B,January,English,38,83,99
1002,1,B,January,Science,43,85,96
1002,1,B,January,Math,46,77,78
1002,1,B,January,Geography,47,88,88
1002,1,B,January,Social Studies,42,86,81
1002,1,B,January,Islamiat,42,86,94
1002,1,B,January,Computer,47,75,99
1002,1,B,February,Urdu,41,80,86
1002,1,B,February,English,46,100,89
1002,1,B,February,Science,46,79,89
1002,1,B,February,Math,37,82,81
1002,1,B,February,Geography,47,86,79
1002,1,B,February,Social Studies,49,98,77
1002,1,B,February,Islamiat,38,98,76
1002,1,B,February,Computer,40,94,79
1002,1,B,March,Urdu,50,84,75
1002,1,B,March,English,42,97,100
1002,1,B,March,Science,38,84,89
1002,1,B,March,Math,44,75,85
1002,1,B,March,Geography,40,98,92
1002,1,B,March,Social Studies,40,81,92
1002,1,B,March,Islamiat,45,99,83
1002,1,B,March,Computer,45,90,94
1003,1,B,April,Urdu,36,54,72
1003,1,B,April,English,36,71,50
1003,1,B,April,Science,31,68,71
1003,1,B,April,Math,33,51,58
1003,1,B,April,Geography,27,51,59
1003,1,B,April,Social Studies,28,75,72
1003,1,B,April,Islamiat,34,58,51
1003,1,B,April,Computer,32,70,50
1003,1,B,May,Urdu,26,62,71
1003,1,B,May,English,29,71,71
1003,1,B,May,Science,30,53,50
1003,1,B,May,Math,29,70,62
1003,1,B,May,Geography,28,62,66
1003,1,B,May,Social Studies,36,53,60
1003,1,B,May,Islamiat,32,69,67
1003,1,B,May,Computer,26,55,56
1003,1,B,August,Urdu,33,64,67
1003,1,B,August,English,36,50,51
1003,1,B,August,Science,28,66,59
1003,1,B,August,Math,30,65,62
1003,1,B,August,Geography,36,55,50
1003,1,B,August,Social Studies,30,71,61
1003,1,B,August,Islamiat,30,70,59
1003,1,B,August,Computer,28,66,58
1003,1,B,September,Urdu,37,51,70
1003,1,B,September,English,29,62,50
1003,1,B,September,Science,33,58,57
1003,1,B,September,Math,27,60,62
1003,1,B,September,Geography,35,54,52
1003,1,B,September,Social Studies,36,62,66
1003,1,B,September,Islamiat,35,69,70
1003,1,B,September,Computer,35,57,63
1003,1,B,October,Urdu,28,68,54
1003,1,B,October,English,31,59,69
1003,1,B,October,Science,30,64,67
1003,1,B,October,Math,27,56,70
1003,1,B,October,Geography,27,68,67
1003,1,B,October,Social Studies,35,75,56
1003,1,B,October,Islamiat,27,59,72
1003,1,B,October,Computer,36,66,54
1003,1,B,November,Urdu,31,74,54
1003,1,B,November,English,35,68,55
1003,1,B,November,Science,30,52,67
1003,1,B,November,Math,33,73,53
1003,1,B,November,Geography,27,60,54
1003,1,B,November,Social Studies,36,50,74
1003,1,B,November,Islamiat,30,63,63
1003,1,B,November,Computer,29,64,73
1003,1,B,December,Urdu,35,73,58
1003,1,B,December,English,27,74,56
1003,1,B,December,Science,26,54,55
1003,1,B,December,Math,25,74,69
1003,1,B,December,Geography,34,58,69
1003,1,B,December,Social Studies,34,69,57
1003,1,B,December,Islamiat,34,57,57
1003,1,B,December,Computer,35,50,61
1003,1,B,January,Urdu,26,72,74
1003,1,B,January,English,32,54,66
1003,1,B,January,Science,34,65,72
1003,1,B,January,Math,35,61,55
1003,1,B,January,Geography,31,65,65
1003,1,B,January,Social Studies,27,55,56
1003,1,B,January,Islamiat,28,51,63
1003,1,B,January,Computer,37,50,58
1003,1,B,February,Urdu,31,57,73
1003,1,B,February,English,35,56,74
1003,1,B,February,Science,28,52,55
1003,1,B,February,Math,32,69,65
1003,1,B,February,Geography,36,60,64
1003,1,B,February,Social Studies,28,63,62
1003,1,B,February,Islamiat,37,51,69
1003,1,B,February,Computer,36,62,73
1003,1,B,March,Urdu,30,62,69
1003,1,B,March,English,36,68,69
1003,1,B,March,Science,33,66,70
1003,1,B,March,Math,36,75,51
1003,1,B,March,Geography,33,53,64
1003,1,B,March,Social Studies,32,51,57
1003,1,B,March,Islamiat,33,67,62
1003,1,B,March,Computer,36,51,67
1004,1,B,April,Urdu,31,66,74
1004,1,B,April,English,35,51,56
1004,1,B,April,Science,29,64,62
1004,1,B,April,Math,29,74,59
1004,1,B,April,Geography,32,55,63
1004,1,B,April,Social Studies,29,69,51
1004,1,B,April,Islamiat,36,66,54
1004,1,B,April,Computer,32,70,64
1004,1,B,May,Urdu,26,73,66
1004,1,B,May,English,26,55,74
1004,1,B,May,Science,34,72,67
1004,1,B,May,Math,27,62,63
1004,1,B,May,Geography,30,64,50
1004,1,B,May,Social Studies,27,64,68
1004,1,B,May,Islamiat,36,56,64
1004,1,B,May,Computer,26,58,60
1004,1,B,August,Urdu,36,70,72
1004,1,B,August,English,37,55,72
1004,1,B,August,Science,36,53,52
1004,1,B,August,Math,26,72,64
1004,1,B,August,Geography,35,61,52
1004,1,B,August,Social Studies,33,72,62
1004,1,B,August,Islamiat,36,75,66
1004,1,B,August,Computer,34,55,62
1004,1,B,September,Urdu,33,62,51
