Student_ID,Class,Section,Month,Monthly_Fee,Amount_Paid,Payment_Status
1001,1,A,April,4534,4449,Unpaid
1001,1,A,May,4534,41,Unpaid
1001,1,A,August,4534,4534,Paid
1001,1,A,September,4534,4534,Paid
1001,1,A,October,4534,1649,Unpaid
1001,1,A,November,4534,4534,Paid
1001,1,A,December,4534,4534,Paid
1001,1,A,January,4534,3154,Unpaid
1001,1,A,February,4534,4534,Paid
1001,1,A,March,4534,4534,Paid
1002,1,B,April,3254,1851,Unpaid
1002,1,B,May,3254,3254,Paid
1002,1,B,August,3254,3254,Paid
1002,1,B,September,3254,1883,Unpaid
1002,1,B,October,3254,3254,Paid
1002,1,B,November,3254,1514,Unpaid
1002,1,B,December,3254,291,Unpaid
1002,1,B,January,3254,3254,Paid
1002,1,B,February,3254,2020,Unpaid
1002,1,B,March,3254,695,Unpaid
1003,1,B,April,4163,4163,Paid
1003,1,B,May,4163,1399,Unpaid
1003,1,B,August,4163,4163,Paid
1003,1,B,September,4163,4163,Paid
1003,1,B,October,4163,4163,Paid
1003,1,B,November,4163,4163,Paid
1003,1,B,December,4163,2300,Unpaid
1003,1,B,January,4163,3097,Unpaid
1003,1,B,February,4163,4163,Paid
1003,1,B,March,4163,3714,Unpaid
1004,1,B,April,4226,1447,Unpaid
1004,1,B,May,4226,2585,Unpaid
1004,1,B,August,4226,4226,Paid
1004,1,B,September,4226,719,Unpaid
1004,1,B,October,4226,4226,Paid
1004,1,B,November,4226,2324,Unpaid
1004,1,B,December,4226,4189,Unpaid
1004,1,B,January,4226,4226,Paid
1004,1,B,February,4226,58,Unpaid
1004,1,B,March,4226,3893,Unpaid
1005,1,B,April,2742,2607,Unpaid
1005,1,B,May,2742,2142,Unpaid
1005,1,B,August,2742,1232,Unpaid
1005,1,B,September,2742,2742,Paid
1005,1,B,October,2742,2577,Unpaid
1005,1,B,November,2742,1363,Unpaid
1005,1,B,December,2742,2742,Paid
1005,1,B,January,2742,1302,Unpaid
1005,1,B,February,2742,823,Unpaid
1005,1,B,March,2742,559,Unpaid
1006,1,A,April,3548,276,Unpaid
1006,1,A,May,3548,3548,Paid
1006,1,A,August,3548,2199,Unpaid
1006,1,A,September,3548,3548,Paid
1006,1,A,October,3548,3548,Paid
1006,1,A,November,3548,3548,Paid
1006,1,A,December,3548,2780,Unpaid
1006,1,A,January,3548,3548,Paid
1006,1,A,February,3548,3548,Paid
1006,1,A,March,3548,3548,Paid
1007,1,A,April,3846,3846,Paid
1007,1,A,May,3846,1442,Unpaid
1007,1,A,August,3846,3846,Paid
1007,1,A,September,3846,3768,Unpaid
1007,1,A,October,3846,3846,Paid
1007,1,A,November,3846,3846,Paid
1007,1,A,December,3846,1843,Unpaid
1007,1,A,January,3846,3846,Paid
1007,1,A,February,3846,1248,Unpaid
1007,1,A,March,3846,3846,Paid
1008,1,B,April,4870,4870,Paid
1008,1,B,May,4870,3381,Unpaid
1008,1,B,August,4870,4783,Unpaid
1008,1,B,September,4870,1324,Unpaid
1008,1,B,October,4870,4870,Paid
1008,1,B,November,4870,4870,Paid
1008,1,B,December,4870,4870,Paid
1008,1,B,January,4870,539,Unpaid
1008,1,B,February,4870,4215,Unpaid
1008,1,B,March,4870,727,Unpaid
1009,1,A,April,3027,3027,Paid
1009,1,A,May,3027,1162,Unpaid
1009,1,A,August,3027,1769,Unpaid
1009,1,A,September,3027,1258,Unpaid
1009,1,A,October,3027,806,Unpaid
1009,1,A,November,3027,103,Unpaid
1009,1,A,December,3027,1511,Unpaid
1009,1,A,January,3027,3027,Paid
1009,1,A,February,3027,3027,Paid
1009,1,A,March,3027,3027,Paid
1010,1,A,April,4191,323,Unpaid
1010,1,A,May,4191,4191,Paid
1010,1,A,August,4191,4191,Paid
1010,1,A,September,4191,4191,Paid
1010,1,A,October,4191,2728,Unpaid
1010,1,A,November,4191,3733,Unpaid
1010,1,A,December,4191,4191,Paid
1010,1,A,January,4191,4191,Paid
1010,1,A,February,4191,1986,Unpaid
1010,1,A,March,4191,3267,Unpaid
1011,1,A,April,2322,2138,Unpaid
1011,1,A,May,2322,2322,Paid
1011,1,A,August,2322,2322,Paid
1011,1,A,September,2322,2322,Paid
1011,1,A,October,2322,2242,Unpaid
1011,1,A,November,2322,2322,Paid
1011,1,A,December,2322,2322,Paid
1011,1,A,January,2322,2322,Paid
1011,1,A,February,2322,1991,Unpaid
1011,1,A,March,2322,1814,Unpaid
1012,1,A,April,2730,168,Unpaid
1012,1,A,May,2730,683,Unpaid
1012,1,A,August,2730,2730,Paid
1012,1,A,September,2730,2687,Unpaid
1012,1,A,October,2730,2730,Paid
1012,1,A,November,2730,266,Unpaid
1012,1,A,December,2730,2730,Paid
1012,1,A,January,2730,2730,Paid
1012,1,A,February,2730,2730,Paid
1012,1,A,March,2730,2730,Paid
1013,1,A,April,3097,2568,Unpaid
1013,1,A,May,3097,3097,Paid
1013,1,A,August,3097,353,Unpaid
1013,1,A,September,3097,2479,Unpaid
1013,1,A,October,3097,3097,Paid
1013,1,A,November,3097,3097,Paid
1013,1,A,December,3097,3097,Paid
1013,1,A,January,3097,3097,Paid
1013,1,A,February,3097,344,Unpaid
1013,1,A,March,3097,1445,Unpaid
1014,1,A,April,4078,3831,Unpaid
1014,1,A,May,4078,4078,Paid
1014,1,A,August,4078,811,Unpaid
1014,1,A,September,4078,4078,Paid
1014,1,A,October,4078,1118,Unpaid
1014,1,A,November,4078,3608,Unpaid
1014,1,A,December,4078,4078,Paid
1014,1,A,January,4078,3526,Unpaid
1014,1,A,February,4078,4078,Paid
1014,1,A,March,4078,3544,Unpaid
1015,1,B,April,3692,309,Unpaid
1015,1,B,May,3692,1411,Unpaid
1015,1,B,August,3692,3692,Paid
1015,1,B,September,3692,3252,Unpaid
1015,1,B,October,3692,1502,Unpaid
1015,1,B,November,3692,1885,Unpaid
1015,1,B,December,3692,374,Unpaid
1015,1,B,January,3692,535,Unpaid
1015,1,B,February,3692,3692,Paid
1015,1,B,March,3692,3692,Paid
1016,1,A,April,2573,2573,Paid
1016,1,A,May,2573,2573,Paid
1016,1,A,August,2573,2573,Paid
1016,1,A,September,2573,1306,Unpaid
1016,1,A,October,2573,411,Unpaid
1016,1,A,November,2573,702,Unpaid
1016,1,A,December,2573,1475,Unpaid
1016,1,A,January,2573,1972,Unpaid
1016,1,A,February,2573,2573,Paid
1016,1,A,March,2573,2573,Paid
1017,1,A,April,2680,2680,Paid
