Student_ID,Teaching_Quality_Rating,Discipline_Rating,Communication_Rating,Fee_Satisfaction,Overall_Satisfaction,Recommendation_Score
1001,5,5,5,4,4.75,8
1002,4,5,5,5,4.75,7
1003,5,3,3,1,3.0,7
1004,4,3,4,2,3.25,6
1005,4,4,4,2,3.5,7
1006,4,2,4,3,3.25,5
1007,4,4,2,1,2.75,5
1008,3,4,2,5,3.5,6
1009,3,4,3,2,3.0,9
1010,4,3,3,1,2.75,2
1011,2,3,3,3,2.75,8
1012,4,3,4,1,3.0,9
1013,2,1,3,3,2.25,5
1014,3,3,2,4,3.0,8
1015,1,2,2,1,1.5,4
1016,4,3,4,3,3.5,7
1017,3,2,1,2,2.0,1
1018,2,3,3,2,2.5,3
1019,2,1,2,2,1.75,7
1020,3,4,3,1,2.75,6
1021,3,4,3,2,3.0,2
1022,5,5,5,3,4.5,9
1023,4,4,4,5,4.25,9
1024,4,5,4,3,4.0,7
1025,1,3,2,1,1.75,3
1026,3,3,3,3,3.0,6
1027,4,3,4,3,3.5,8
1028,3,5,3,3,3.5,5
1029,4,2,3,3,3.0,8
1030,5,4,5,3,4.25,9
1031,5,5,3,4,4.25,8
1032,4,3,2,5,3.5,9
1033,3,3,4,5,3.75,9
1034,4,2,3,4,3.25,8
1035,4,2,3,3,3.0,8
1036,5,4,5,4,4.5,9
1037,5,4,3,2,3.5,7
1038,2,2,3,2,2.25,6
1039,4,4,3,3,3.5,7
1040,5,4,3,5,4.25,8
1041,5,3,2,5,3.75,7
1042,4,4,2,2,3.0,6
1043,5,4,5,5,4.75,10
1044,3,4,4,3,3.5,7
1045,5,5,5,4,4.75,8
1046,3,4,3,4,3.5,4
1047,4,4,4,4,4.0,9
1048,3,3,2,2,2.5,5
1049,5,4,5,3,4.25,7
1050,5,3,2,4,3.5,8
1051,4,3,5,4,4.0,10
1052,5,5,5,4,4.75,10
1053,3,4,2,3,3.0,9
1054,4,4,3,1,3.0,6
1055,4,4,3,3,3.5,8
1056,4,4,3,3,3.5,8
1057,2,2,4,4,3.0,7
1058,4,4,3,3,3.5,7
1059,4,4,2,3,3.25,8
1060,3,2,1,2,2.0,1
1061,4,3,4,2,3.25,7
1062,4,5,4,2,3.75,5
1063,2,2,4,1,2.25,7
1064,1,4,2,2,2.25,5
1065,5,5,4,4,4.5,10
1066,5,4,3,4,4.0,7
1067,4,4,2,3,3.25,5
1068,3,5,3,4,3.75,7
1069,4,2,1,4,2.75,1
1070,5,4,4,3,4.0,6
1071,4,4,4,4,4.0,5
1072,3,4,3,4,3.5,7
1073,3,4,4,3,3.5,5
1074,3,5,4,1,3.25,5
1075,2,4,3,3,3.0,5
1076,1,3,2,2,2.0,7
1077,4,2,3,2,2.75,6
1078,3,4,4,3,3.5,9
1079,4,3,4,3,3.5,9
1080,4,1,3,3,2.75,7
1081,5,4,4,3,4.0,7
1082,5,3,4,4,4.0,10
1083,3,2,1,2,2.0,3
1084,4,2,4,3,3.25,8
1085,3,5,4,3,3.75,9
1086,5,4,4,2,3.75,9
1087,2,3,4,4,3.25,6
1088,3,2,3,2,2.5,6
1089,3,2,4,5,3.5,9
1090,3,3,3,2,2.75,2
1091,5,4,3,3,3.75,8
1092,4,4,4,4,4.0,9
1093,4,5,3,3,3.75,5
1094,4,4,3,2,3.25,5
1095,4,3,3,4,3.5,7
1096,4,4,3,4,3.75,9
1097,3,5,3,2,3.25,7
1098,4,3,4,3,3.5,5
1099,3,3,3,2,2.75,8
1100,2,2,3,2,2.25,5
1101,2,1,1,1,1.25,2
1102,3,4,3,2,3.0,7
1103,1,3,2,1,1.75,6
1104,1,2,3,2,2.0,2
1105,4,4,4,2,3.5,7
1106,3,4,4,3,3.5,7
1107,3,2,2,2,2.25,1
1108,3,3,3,2,2.75,9
1109,4,4,4,3,3.75,5
1110,4,4,4,3,3.75,6
1111,4,4,3,2,3.25,9
